Capital,Pais_ISO,Pais_Nome,Tendencia_5_Anos,Nivel_Liberdade_Mio,Tamanho_Medio_Historico,Duracao_Media_Historica,Principais_Participantes,Principais_Motivações,Resultados_Comuns,Perfil_Risco_Justificativa
Ouagadougou,BFA,Burkina Faso,Risco Médio,Not free,Hundreds,1 day,General public.,Política,"Outcome Significativo, Resposta Gov. Violenta","Cidade: Ouagadougou (País: Burkina Faso, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Política). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta."
Asunción,PRY,Paraguay,Risco Médio,Partly free,Thousands,1 day,"General public, including medical professionals.","Econômica, Política, Corrupção",Outcome Significativo,"Cidade: Asunción (País: Paraguay, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public, including medical professionals.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo."
Kuala Lumpur,MYS,Malaysia,Risco Elevado,Partly Free,Thousands,1 day,Lawyers,"Econômica, Política",Outcome Significativo,"Cidade: Kuala Lumpur (País: Malaysia, Nível Liberdade: Partly Free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política). Participantes: (Lawyers). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo."
Banjul ,GMB,The Gambia,Sem Dados,Partly Free,Thousands,1 day,"Gambians Against Looted Assets (GALA), general public","Política, Corrupção",Não especificado,"Cidade: Banjul  (País: The Gambia, Nível Liberdade: Partly Free). Tendência: 'Sem Dados'. Motivações: (Política, Corrupção). Participantes: (Gambians Against Looted Assets (GALA), general public). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Não especificado."
Kyiv,UKR,Ukraine,Risco Médio,Partly free,Hundreds,1 day,General public,"Política, Corrupção",Outcome Significativo,"Cidade: Kyiv (País: Ukraine, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Política, Corrupção). Participantes: (General public). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo."
Luanda,AGO,Angola,Risco Médio,Not free,Thousands,1 month,General public.,"Econômica, Política","Outcome Significativo, Resposta Gov. Violenta","Cidade: Luanda (País: Angola, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '1 month'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta."
Sofia,BGR,Bulgaria,Risco Elevado,Free,Thousands,1 day,Farmers,"Econômica, Política, Corrupção","Outcome Significativo, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Sofia (País: Bulgaria, Nível Liberdade: Free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (Farmers). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Protesto Longo (>3m), Protesto Grande (>100k)."
Lomé,TGO,Togo,Risco Médio,Free,Thousands,1 month,"Activists, youth","Econômica, Política","Outcome Significativo, Resposta Gov. Violenta","Cidade: Lomé (País: Togo, Nível Liberdade: Free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política). Participantes: (Activists, youth). Duração: '1 month'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta."
Sanaa,YEM,Yemen,Sem Dados,Not Free,Tens of thousands,1 day,General public,Política,Não especificado,"Cidade: Sanaa (País: Yemen, Nível Liberdade: Not Free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (General public). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Não especificado."
Tehran,IRN,Iran,Risco Elevado,Not free,Tens of thousands,1 month,General public.,"Econômica, Política, Corrupção, Gênero","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Tehran (País: Iran, Nível Liberdade: Not free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção, Gênero). Participantes: (General public.). Duração: '1 month'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Bangkok,THA,Thailand,Risco Médio,Not free,Hundreds,1 month,General public.,"Econômica, Política","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Bangkok (País: Thailand, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '1 month'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Nairobi,KEN,Kenya,Risco Elevado,Partly free,Thousands,1 day,General public.,"Econômica, Política, Corrupção, Gênero","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Nairobi (País: Kenya, Nível Liberdade: Partly free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção, Gênero). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Bogotá,COL,Colombia,Risco Muito Baixo,Free,Tens of thousands,1 day,General public,"Econômica, Política",Outcome Significativo,"Cidade: Bogotá (País: Colombia, Nível Liberdade: Free). Tendência: 'Risco Muito Baixo'. Motivações: (Econômica, Política). Participantes: (General public). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo."
Abidjan,,Ivory Coast,Sem Dados,Partly Free,Thousands,1 day in June; 1 day in August,Opposition,Política,Não especificado,"Cidade: Abidjan (País: Ivory Coast, Nível Liberdade: Partly Free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Opposition). Duração: '1 day in June; 1 day in August'. Tamanho: 'Thousands'. Resultados comuns: Não especificado."
Madrid,ESP,Spain,Risco Elevado,Free,Thousands,1 day,General public,"Econômica, Política, Corrupção, Gênero","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Madrid (País: Spain, Nível Liberdade: Free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção, Gênero). Participantes: (General public). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Bucharest,ROU,Romania,Risco Elevado,Free,Tens of thousands,1 day,General public.,"Econômica, Política","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Bucharest (País: Romania, Nível Liberdade: Free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Panama City,PAN,Panama,Risco Médio,Free,Thousands,2 months,General public.,"Econômica, Política, Corrupção",Outcome Significativo,"Cidade: Panama City (País: Panama, Nível Liberdade: Free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '2 months'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo."
Rome,ITA,Italy,Risco Elevado,Free,Tens of thousands,1 day,Climate activists.,"Econômica, Política, Corrupção, Gênero","Outcome Significativo, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Rome (País: Italy, Nível Liberdade: Free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção, Gênero). Participantes: (Climate activists.). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo, Protesto Longo (>3m), Protesto Grande (>100k)."
Tokyo,JPN,Japan,Risco Elevado,Free,Hundreds,1 day,Cambodians in Japan,Política,Outcome Significativo,"Cidade: Tokyo (País: Japan, Nível Liberdade: Free). Tendência: 'Risco Elevado'. Motivações: (Política). Participantes: (Cambodians in Japan). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo."
Tripoli,LBY,Libya,Risco Médio,Not free,Thousands,1 day,General public,"Econômica, Política, Corrupção","Outcome Significativo, Protesto Grande (>100k)","Cidade: Tripoli (País: Libya, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Protesto Grande (>100k)."
Ulaanbaatar,MNG,Mongolia,Risco Médio,Free,Thousands,3 weeks,General public.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta","Cidade: Ulaanbaatar (País: Mongolia, Nível Liberdade: Free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '3 weeks'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta."
Budapest,HUN,Hungary,Risco Muito Elevado,Partly free,Thousands,1 day,General public,"Econômica, Política, Corrupção, Gênero","Outcome Significativo, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Budapest (País: Hungary, Nível Liberdade: Partly free). Tendência: 'Risco Muito Elevado'. Motivações: (Econômica, Política, Corrupção, Gênero). Participantes: (General public). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Protesto Longo (>3m), Protesto Grande (>100k)."
Bamako,MLI,Mali,Risco Médio,Not free,Hundreds,1 day,Civil society.,"Econômica, Política","Outcome Significativo, Resposta Gov. Violenta, Protesto Grande (>100k)","Cidade: Bamako (País: Mali, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política). Participantes: (Civil society.). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Grande (>100k)."
Ankara,,Turkey,Risco Elevado,Not free,Thousands,1 day,Women.,"Econômica, Política, Corrupção, Gênero","Outcome Significativo, Resposta Gov. Violenta, Protesto Grande (>100k)","Cidade: Ankara (País: Turkey, Nível Liberdade: Not free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção, Gênero). Participantes: (Women.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Grande (>100k)."
Paris,FRA,France,Risco Muito Elevado,Free,Thousands,1 day,General public.,"Econômica, Política, Corrupção, Gênero","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Paris (País: France, Nível Liberdade: Free). Tendência: 'Risco Muito Elevado'. Motivações: (Econômica, Política, Corrupção, Gênero). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Nicosia,CYP,Cyprus,Risco Médio,Free,Hundreds,1 day,General public,"Política, Corrupção",Não especificado,"Cidade: Nicosia (País: Cyprus, Nível Liberdade: Free). Tendência: 'Risco Médio'. Motivações: (Política, Corrupção). Participantes: (General public). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Não especificado."
Berlin,DEU,Germany,Risco Elevado,Free,Tens of thousands,1 day,General public,"Econômica, Política, Gênero","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Berlin (País: Germany, Nível Liberdade: Free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Gênero). Participantes: (General public). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Santiago,CHL,Chile,Risco Médio,Free,Thousands,1 day,"Students, young people, professionals, civil society groups.","Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Santiago (País: Chile, Nível Liberdade: Free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (Students, young people, professionals, civil society groups.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Athens,GRC,Greece,Risco Elevado,Free,Thousands,1 day,General public.,"Econômica, Política","Outcome Significativo, Resposta Gov. Violenta, Protesto Grande (>100k)","Cidade: Athens (País: Greece, Nível Liberdade: Free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Grande (>100k)."
Taipei,TWN,Taiwan,Risco Médio,Free,Tens of thousands,2 weeks,"Activist groups, general public.","Política, Corrupção",Outcome Significativo,"Cidade: Taipei (País: Taiwan, Nível Liberdade: Free). Tendência: 'Risco Médio'. Motivações: (Política, Corrupção). Participantes: (Activist groups, general public.). Duração: '2 weeks'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo."
Bangui,CAF,Central African Republic,Risco Médio,Not free,Thousands,1 day,General public,Política,Não especificado,"Cidade: Bangui (País: Central African Republic, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Política). Participantes: (General public). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Não especificado."
Bratislava,SVK,Slovakia,Risco Elevado,Free,Thousands,1 day,General public.,"Econômica, Política, Corrupção","Outcome Significativo, Protesto Longo (>3m)","Cidade: Bratislava (País: Slovakia, Nível Liberdade: Free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Protesto Longo (>3m)."
London,GBR,United Kingdom,Risco Elevado,Free,Thousands,1 day,General public.,"Econômica, Política, Gênero","Outcome Significativo, Protesto Longo (>3m)","Cidade: London (País: United Kingdom, Nível Liberdade: Free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Gênero). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Protesto Longo (>3m)."
"Washington, DC",USA,United States,Risco Muito Elevado,Free,Thousands,1 day,General public,"Econômica, Política, Gênero",Protesto Grande (>100k),"Cidade: Washington, DC (País: United States, Nível Liberdade: Free). Tendência: 'Risco Muito Elevado'. Motivações: (Econômica, Política, Gênero). Participantes: (General public). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Protesto Grande (>100k)."
Jerusalem,ISR,Israel,Risco Elevado,Free,Tens of thousands,3 weeks,General public.,"Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Jerusalem (País: Israel, Nível Liberdade: Free). Tendência: 'Risco Elevado'. Motivações: (Política, Corrupção). Participantes: (General public.). Duração: '3 weeks'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Port-au-Prince,HTI,Haiti,Risco Médio,Not free,Thousands,1 day,General public.,"Econômica, Política, Corrupção","Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Port-au-Prince (País: Haiti, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Resposta Gov. Violenta, Protesto Longo (>3m)."
Sana'a,YEM,Yemen,Risco Médio,Not free,Hundreds,1 month,Followers of the Houthi movement.,"Econômica, Política",Resposta Gov. Violenta,"Cidade: Sana'a (País: Yemen, Nível Liberdade: Not free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política). Participantes: (Followers of the Houthi movement.). Duração: '1 month'. Tamanho: 'Hundreds'. Resultados comuns: Resposta Gov. Violenta."
Skopje,MKD,North Macedonia,Risco Médio,Partly free,Thousands,1 day,General public,"Política, Corrupção",Outcome Significativo,"Cidade: Skopje (País: North Macedonia, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Política, Corrupção). Participantes: (General public). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo."
Mexico City,MEX,Mexico,Risco Elevado,Partly free,Thousands,1 day,General public,"Econômica, Política, Gênero","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Mexico City (País: Mexico, Nível Liberdade: Partly free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Gênero). Participantes: (General public). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Brasilia,BRA,Brazil,Risco Médio,Free,Thousands,1 day; 1 day in April 2025,General public.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta","Cidade: Brasilia (País: Brazil, Nível Liberdade: Free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 day; 1 day in April 2025'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta."
Tirana,ALB,Albania,Risco Médio,Partly free,Thousands,1 week,General public.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Tirana (País: Albania, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 week'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Manila,PHL,Philippines,Sem Dados,Partly Free,Thousands,1 day,Duterte's critics,"Política, Corrupção","Outcome Significativo, Protesto Grande (>100k)","Cidade: Manila (País: Philippines, Nível Liberdade: Partly Free). Tendência: 'Sem Dados'. Motivações: (Política, Corrupção). Participantes: (Duterte's critics). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Protesto Grande (>100k)."
Kathmandu,NPL,Nepal,Risco Médio,Partly free,Tens of thousands,1 day,General public.,Política,Resposta Gov. Violenta,"Cidade: Kathmandu (País: Nepal, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Política). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Resposta Gov. Violenta."
Istanbul,TUR,Türkiye,Sem Dados,Not Free,Thousands,1 day,Women,Gênero,Não especificado,"Cidade: Istanbul (País: Türkiye, Nível Liberdade: Not Free). Tendência: 'Sem Dados'. Motivações: (Gênero). Participantes: (Women). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Não especificado."
Vienna,AUT,Austria,Risco Médio,Free,Tens of thousands,1 day,Farmers,"Econômica, Política",Protesto Longo (>3m),"Cidade: Vienna (País: Austria, Nível Liberdade: Free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política). Participantes: (Farmers). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Protesto Longo (>3m)."
Brussels,BEL,Belgium,Risco Baixo,Free,Tens of thousands,1 day,General public.,"Econômica, Política","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Brussels (País: Belgium, Nível Liberdade: Free). Tendência: 'Risco Baixo'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Sarajevo,BIH,Bosnia and Herzegovina,Risco Elevado,Partly free,Thousands,1 day,Bosnian Serbs.,"Política, Corrupção, Gênero","Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Sarajevo (País: Bosnia and Herzegovina, Nível Liberdade: Partly free). Tendência: 'Risco Elevado'. Motivações: (Política, Corrupção, Gênero). Participantes: (Bosnian Serbs.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Protesto Longo (>3m), Protesto Grande (>100k)."
Islamabad,PAK,Pakistan,Risco Muito Elevado,Partly free,Thousands,1 month,General public.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Islamabad (País: Pakistan, Nível Liberdade: Partly free). Tendência: 'Risco Muito Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 month'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Sydney,AUS,Australia,Sem Dados,Free,Tens of thousands,1 day,"Indigenous activists, general public",Política,Não especificado,"Cidade: Sydney (País: Australia, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Indigenous activists, general public). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Não especificado."
Phnom Penh,KHM,Cambodia,Sem Dados,Not Free,Hundreds,1 day,Farmers in Takeo,Econômica,Outcome Significativo,"Cidade: Phnom Penh (País: Cambodia, Nível Liberdade: Not Free). Tendência: 'Sem Dados'. Motivações: (Econômica). Participantes: (Farmers in Takeo). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo."
Juba,SSD,South Sudan,Sem Dados,Not Free,Hundreds,1 day,Youth,Política,Não especificado,"Cidade: Juba (País: South Sudan, Nível Liberdade: Not Free). Tendência: 'Sem Dados'. Motivações: (Política). Participantes: (Youth). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Não especificado."
Kinshasa,,Democratic Republic of the Congo,Risco Elevado,Not free,Tens of thousands,1 day,General public,"Econômica, Política","Outcome Significativo, Resposta Gov. Violenta","Cidade: Kinshasa (País: Democratic Republic of the Congo, Nível Liberdade: Not free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política). Participantes: (General public). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta."
Conakry,GIN,Guinea,Risco Médio,Partly free,Hundreds,1 month,"Coalition of politicians, activists.","Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Conakry (País: Guinea, Nível Liberdade: Partly free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (Coalition of politicians, activists.). Duração: '1 month'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
